Department;Faculty;University;Discount;City;Language;score_last;range_last;score_first;range_first;average_range;average_score
Industrial Engineering;Engineering Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;289;283413;422;78645;417615;249
Statistics;Humanities and Social Sciences Faculty;Istanbul Ticaret University;100% Discount;ISTANBUL;Turkish;287;289983;325;201205;326594;317
Media and Communication;Communication Faculty;Istanbul Ticaret University;100% Discount;ISTANBUL;Turkish;283;297189;402;11312;503682;282
Mechatronic Engineering;Engineering Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;248;298128;325;123196;811376;264
Electrical Electronics Engineering;Engineering Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;284;298210;418;82952;337068;332
Electrical Electronics Engineering;Engineering Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;248;298412;341;103033;809776;261
Mechatronic Engineering;Engineering Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;284;299058;395;105026;391496;322
Statistics;Humanities and Social Sciences Faculty;Istanbul Ticaret University;100% Discount;ISTANBUL;Turkish;250;341600;280;236742;51721;434
Industrial Design;Architecture and Design Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;219;384686;270;230329;809787;259
Mathematics;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;219;384879;268;236429;719780;266
Statistics;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;201;390017;254;277857;700637;268
Mathematics;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;253;410507;278;314951;310239;268
Psychology;Humanities and Social Sciences Faculty;Istanbul Ticaret University;0% Discount;ISTANBUL;Turkish;261;444001;294;259396;57378;356
Mathematics;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;227;458727;242;381869;202486;365
Sociology;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;230;533707;243;428361;756822;213
Visual Communication Design;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;245;536208;333;100234;368018;331
Visual Communication Design;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;222;540799;322;61931;885504;200
Logistics Management;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;228;542046;267;283330;687370;220
Media and Communication;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;221;544505;292;137664;811372;258
Finance ve Banking;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;227;546090;244;426233;790959;212
Industrial Design;Architecture and Design Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;228;549402;331;189004;367786;322
Business;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;226;551481;306;134508;987570;192
International Trade;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;254;553497;340;157288;435934;248
Psychology;Humanities and Social Sciences Faculty;Istanbul Ticaret University;0% Discount;ISTANBUL;Turkish;254;553947;306;269187;412932;249
Economics;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;225;559604;249;389518;810306;268
Public Relations and Advertising;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;202;562907;307;94864;1162842;179
International Trade;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;220;571425;271;262589;987732;250
Visual Communication Design;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;254;579248;320;176578;41617;444
Business;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;210;581945;276;238999;997723;247
Economics;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;207;584119;250;378576;810312;264
Political Science and International Relations;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;207;584226;286;198024;890439;259
Interior Architecture and Environmental Design;Architecture and Design Faculty;Istanbul Ticaret University;25% Discount;ISTANBUL;Turkish;204;586046;283;210755;808424;259
Aviation Management;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;203;586590;271;260422;987499;245
Psychology;Humanities and Social Sciences Faculty;Istanbul Ticaret University;0% Discount;ISTANBUL;Turkish;202;586904;274;245023;989181;193
Interior Architecture and Environmental Design;Architecture and Design Faculty;Istanbul Ticaret University;25% Discount;ISTANBUL;Turkish;248;601715;334;174064;393098;318
Business;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;247;604424;325;200291;423868;248
Aviation Management;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;238;642785;316;179756;145726;310
International Trade;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;237;644387;307;208443;146308;378
Aviation Management;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;242;646739;328;190749;439151;301
Interior Architecture and Environmental Design;Architecture and Design Faculty;Istanbul Ticaret University;25% Discount;ISTANBUL;Turkish;236;655036;270;382470;53474;357
Economics;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;241;658897;329;187677;361838;324
Political Science and International Relations;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;234;680106;285;303006;48974;361
Economics;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;233;690999;272;371540;21669;481
Economics;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;230;719716;279;330397;21686;393
Political Science and International Relations;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;234;720573;312;245405;397990;306
Economics;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;234;721637;309;254783;361832;256
Public Relations and Advertising;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;222;723378;302;206329;496846;300
Business;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;233;732805;309;256282;435657;311
Media and Communication;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;220;737361;351;61848;368231;324
Logistics Management;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;232;738920;294;317242;310057;265
Interior Architecture and Environmental Design;Architecture and Design Faculty;Istanbul Ticaret University;0% Discount;ISTANBUL;Turkish;232;743757;247;609784;279797;270
Business;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;English;226;751611;357;83604;114006;407
Business;Business Faculty;Istanbul Ticaret University;0% Discount;ISTANBUL;English;231;756034;240;667972;340501;266
Public Relations and Advertising;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;233;756049;329;143399;116341;406
International Trade;Business Faculty;Istanbul Ticaret University;0% Discount;ISTANBUL;Turkish;229;769978;244;633318;409283;315
Media and Communication;Communication Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;227;797461;316;193333;42467;442
Business;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;203;821734;266;411837;67693;438
Sociology;Humanities and Social Sciences Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;213;942433;302;285392;345897;259
Finance ve Banking;Business Faculty;Istanbul Ticaret University;50% Discount;ISTANBUL;Turkish;211;958379;321;212359;367870;327
Public Administration;Open and Distance Education Faculty;Istanbul University;UE-non-scholarship;ISTANBUL;Turkish;0;0;353;89642;32057;453
Political Science and Public Administration;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;380;48125;129019;397
Political Science and International Relations;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;372;59398;129080;381
Political Science and International Relations;Political Sciences Faculty;Istanbul University;0% Discount;ISTANBUL;English;0;0;0;0;265915;337
Political Science and International Relations;Political Sciences Faculty;Istanbul University;0% Discount;ISTANBUL;English;0;0;0;0;603729;286
Philosophy;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;379;49250;54397;359
Occupational Health and Safety;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;327;141449;54461;355
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;English;0;0;502;6297;40283;368
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;English;0;0;0;0;681321;270
Management Information Systems;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;386;39857;129113;317
Human Resources Management;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;362;74308;54459;435
Hittitology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;0;0;349;28828;102013;328
Economics;Open and Distance Education Faculty;Istanbul University;AO-non-scholarship;ISTANBUL;Turkish;0;0;412;16307;54412;358
Economics;Economics Faculty;Istanbul University;0% Discount;ISTANBUL;English;0;0;0;0;309540;330
Business;Business Faculty;Istanbul University;0% Discount;ISTANBUL;English;0;0;0;0;309725;267
Business;Business Faculty;Istanbul University;0% Discount;ISTANBUL;English;0;0;0;0;687176;218
Astronomy and Space Sciences;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;0;0;0;0;674702;272
Law;Law Faculty;Istanbul University;0% Discount;ISTANBUL;Turkish;512;444;524;182;262350;347
Law;Law Faculty;Istanbul University;0% Discount;ISTANBUL;Turkish;462;602;496;122;596543;230
Law;Law Faculty;Istanbul University;0% Discount;ISTANBUL;Turkish;485;880;530;64;6392;510
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;English;524;1863;543;233;190586;356
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;English;534;1908;547;309;489593;305
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;English;491;2227;529;152;1134004;236
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;Turkish;519;2609;539;398;68298;347
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;Turkish;530;2817;541;850;336896;264
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;Turkish;485;3035;501;1340;734516;212
Law;Law Faculty;Istanbul University;Free;ISTANBUL;Turkish;465;3815;531;93;411133;246
Law;Law Faculty;Istanbul University;Free;ISTANBUL;Turkish;445;4090;525;96;128819;383
English Translation and Interpreting;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;462;4276;490;2053;422711;303
English Translation and Interpreting;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;440;5122;473;2060;1068452;236
Law;Law Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;453;5632;482;1899;365126;314
Law;Law Faculty;Istanbul University;Free;ISTANBUL;Turkish;410;5691;500;103;894241;257
English Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;English;439;6703;469;3352;250661;280
English Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;English;442;6779;478;2842;579535;284
Law;Law Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;432;7232;476;1271;83901;342
History;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;413;7322;458;1253;583117;280
History;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;416;7433;501;157;253713;353
English Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;English;421;8019;456;3379;0;0
History;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;379;8312;432;942;0;0
Law;Law Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;398;9130;415;4643;800538;260
American Culture and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;English;425;9148;456;4518;230950;359
American Culture and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;English;427;9340;465;3987;544748;232
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;English;411;9343;444;2100;73226;432
Korean Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;421;9979;475;2900;48059;363
Psychology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;436;10089;490;1355;271733;275
Chinese Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;417;10821;485;2264;98595;330
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;English;403;11039;433;3210;351454;329
Medicine;Istanbul Medicine Faculty;Istanbul University;Free;ISTANBUL;English;508;11184;518;6483;306857;318
Korean Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;418;11238;480;2733;334098;326
Chinese Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;405;11345;451;3851;833769;204
Turkish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;406;11348;457;1220;253916;339
Chinese Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;418;11387;481;2640;375820;331
Dentistry;Dentistry Faculty  ;Istanbul University;Free;ISTANBUL;English;451;11455;470;5815;762411;210
Spanish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;403;11709;529;90;953789;195
American Culture and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;English;403;11950;436;5632;0;0
Dentistry;Dentistry Faculty;Istanbul University;Free;ISTANBUL;English;505;12520;519;6186;348455;260
Psychology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;419;12553;486;833;17024;475
Dentistry;Dentistry Faculty;Istanbul University;Free;ISTANBUL;English;483;13063;518;2776;70167;435
Radio Television and Cinema;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;403;13130;430;4105;253165;340
Korean Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;397;13227;457;3280;774140;211
Linguistics;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;409;13350;472;3379;417168;313
Russian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;404;13829;514;743;139768;375
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;397;13889;435;2952;351460;259
German Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;405;14373;480;2726;413844;314
French Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;404;14520;472;3357;459464;301
Russian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;404;14605;521;527;427154;323
Linguistics;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;400;14709;459;4216;131289;384
French Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;400;14794;516;636;164287;367
French Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;391;15067;450;3944;1053428;239
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;399;15221;424;5177;73258;433
German Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;388;15694;437;5505;1028914;245
German Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;396;15722;453;4914;129161;379
Italian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;396;15935;484;2276;136289;379
Italian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;398;16190;475;3147;423883;247
Turkish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;393;16285;460;1186;583331;282
Arabic Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;395;16981;456;4910;544859;299
Linguistics;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;384;17071;455;3467;1041506;240
Dentistry;Dentistry Faculty;Istanbul University;Free;ISTANBUL;Turkish;473;17652;512;4061;34706;450
Italian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;381;17738;442;4893;955072;248
Russian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;379;18290;448;4192;962020;194
Political Science and International Relations;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;English;418;18437;451;6223;355873;259
Psychology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;379;18566;423;3335;614079;278
Radio Television and Cinema;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;389;18686;439;2541;582832;285
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;English;358;18797;409;2244;769082;263
Theater Criticism and Dramaturgy;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;394;19448;446;1915;78301;429
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;356;20436;413;1906;725753;280
Arabic Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;378;20499;518;573;231033;356
Dentistry;Dentistry Faculty;Istanbul University;Free;ISTANBUL;Turkish;492;20774;527;3504;299390;266
Radio Television and Cinema;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;354;21979;394;4289;0;0
Dentistry;Dentistry Faculty;Istanbul University;Free;ISTANBUL;Turkish;430;22061;462;7949;661967;284
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;383;22759;435;2939;303207;267
Arabic Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;363;23280;473;2021;0;0
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;388;23784;426;4892;37584;463
Turkish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;352;23860;418;1533;0;0
Latin Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;363;24565;444;6006;136696;394
Theater Criticism and Dramaturgy;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;381;25073;448;1777;356883;327
Latin Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;365;25586;461;4379;424324;316
Latin Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;355;25675;462;2851;955529;251
Contemporary Greek Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;353;27613;457;4417;98076;331
Contemporary Greek Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;344;29278;448;4212;832977;207
Ukrainian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;347;29407;418;10526;50547;433
Ukrainian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;344;29502;377;18912;729642;213
Pharmacy;Pharmacy Faculty;Istanbul University;Free;ISTANBUL;English;418;29558;448;12760;834998;204
Ukrainian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;349;30316;398;16333;335104;266
Pharmacy;Pharmacy Faculty;Istanbul University;Free;ISTANBUL;English;449;30894;470;18991;99046;414
Pharmacy;Pharmacy Faculty;Istanbul University;Free;ISTANBUL;English;478;31139;496;18402;376263;325
Political Science and International Relations;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;English;364;31221;389;13036;778722;210
Theology;Theology Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;374;31537;500;216;269943;335
Contemporary Greek Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;342;32626;470;3573;375574;314
Theater Criticism and Dramaturgy;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;342;32710;396;3936;781101;208
Theology;Theology Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;379;33256;431;3895;14891;401
Pharmacy;Pharmacy Faculty;Istanbul University;Free;ISTANBUL;Turkish;445;33547;473;17455;36132;449
Political Science and International Relations;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;English;392;33729;432;7064;77282;427
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;341;34041;351;24855;904759;258
Ancient Greek Dialects and Literatures;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;330;34831;491;1871;131766;382
Polish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;325;35528;396;13592;804919;207
Journalism;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;377;35896;424;5236;13801;484
Pharmacy;Pharmacy Faculty;Istanbul University;Free;ISTANBUL;Turkish;472;36218;503;13662;301612;269
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;339;37269;398;3734;662497;221
Ancient Greek Dialects and Literatures;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;319;37335;428;6845;942079;253
Pharmacy;Pharmacy Faculty;Istanbul University;Free;ISTANBUL;Turkish;407;37786;449;12549;668310;220
Polish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;322;38538;383;20483;365648;326
Ancient Greek Dialects and Literatures;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;322;38597;445;6315;417731;314
Polish Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;317;39172;394;16288;82965;340
Public Relations and Promotion;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;373;41044;426;4732;13830;496
Journalism;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;363;44140;449;1726;268657;334
Public Relations and Promotion;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;362;45882;418;6063;268746;334
German Translation and Interpreting;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;297;46588;431;8701;413863;315
Public Relations and Promotion;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;328;51145;389;5527;611061;277
Theology;Theology Faculty;Istanbul University;Free;ISTANBUL;Turkish;328;51258;347;27918;685804;218
Art History;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;358;51583;420;5343;479008;240
Persian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;282;51587;469;3628;513374;298
Persian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;280;51658;380;20077;233788;344
Persian Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;275;51882;453;3677;1269836;221
Journalism;Communication Faculty;Istanbul University;Free;ISTANBUL;Turkish;328;52584;395;4268;610886;284
Theology;Theology Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;324;57915;360;17925;0;0
Hittitology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;257;58204;372;20644;842510;255
Art History;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;324;58795;395;4182;1112744;238
Architecture;Architecture Faculty;Istanbul University;Free;ISTANBUL;Turkish;408;58952;442;35211;216295;366
Art History;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;361;60641;438;2809;181939;377
Urdu Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;254;61710;336;33061;112359;324
French Translation and Interpreting;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;244;65297;435;7885;350207;329
Business;Business Faculty;Istanbul University;Free;ISTANBUL;English;381;66981;447;7066;270818;275
Architecture;Architecture Faculty;Istanbul University;Free;ISTANBUL;Turkish;435;67408;452;53089;557314;292
Hittitology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;238;67885;468;3729;378983;253
French Translation and Interpreting;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;229;68367;423;7673;839838;210
Molecular Biology and Genetics;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;372;68681;406;38968;1090274;184
Geography;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;356;69070;407;11068;12820;402
Political Science and International Relations;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;365;69104;388;37455;24380;466
Urdu Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;217;70388;347;28266;872478;202
German Translation and Interpreting;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;216;70427;384;16975;1029584;243
Political Science and International Relations;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;379;70954;418;18804;283136;345
Business;Business Faculty;Istanbul University;Free;ISTANBUL;English;335;71522;379;18767;612611;286
Architecture;Architecture Faculty;Istanbul University;Free;ISTANBUL;Turkish;368;72733;382;59416;0;0
Geography;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;345;73999;432;3284;268002;275
Molecular Biology and Genetics;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;426;75809;461;45295;472659;293
Business;Business Faculty;Istanbul University;Free;ISTANBUL;English;361;76462;398;27800;15947;477
Molecular Biology and Genetics;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;385;76998;445;33307;176835;301
Urdu Language and Literature;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;203;78512;423;10243;389471;253
Political Science and Public Administration;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;359;79604;392;33269;24327;466
Political Science and Public Administration;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;371;86678;422;16226;283077;273
Political Science and International Relations;Economics Faculty;Istanbul University;Free;ISTANBUL;English;325;90667;387;14015;967527;232
Theology;Theology Faculty;Istanbul University;IO-non-scholarship;ISTANBUL;Turkish;308;90970;349;26571;597495;225
Economics;Economics Faculty;Istanbul University;Free;ISTANBUL;English;368;91397;415;20575;296490;268
Geography;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;307;93669;367;13718;608599;224
Contemporary Turkish Dialects and Literatures;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;336;93898;431;3443;454182;308
Political Science and International Relations;Economics Faculty;Istanbul University;Free;ISTANBUL;Turkish;351;94796;399;26349;17321;396
Economics;Economics Faculty;Istanbul University;Free;ISTANBUL;English;349;97305;431;7291;31738;455
Contemporary Turkish Dialects and Literatures;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;342;103893;400;15157;159883;306
Economics;Economics Faculty;Istanbul University;Free;ISTANBUL;English;318;104461;351;46190;656968;269
Political Science and International Relations;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;318;105414;392;11555;634821;221
Political Science and International Relations;Economics Faculty;Istanbul University;Free;ISTANBUL;Turkish;360;109294;416;19712;272079;274
Business;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;334;130379;396;29065;245067;353
Sociology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;333;132865;388;38381;241458;364
Business;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;350;133115;377;73054;566708;230
Business;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;306;133290;349;49366;0;0
Political Science and Public Administration;Political Sciences Faculty;Istanbul University;Free;ISTANBUL;Turkish;305;138316;344;56512;634718;221
Sociology;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;347;140659;434;10815;560136;228
Interior Architecture;Architecture Faculty;Istanbul University;Free;ISTANBUL;Turkish;313;140744;361;79508;1062180;187
Interior Architecture;Architecture Faculty;Istanbul University;Free;ISTANBUL;Turkish;362;141972;432;69954;462672;244
Contemporary Turkish Dialects and Literatures;Literature Faculty;Istanbul University;Free;ISTANBUL;Turkish;291;142781;436;790;1038412;237
Political Science and International Relations;Economics Faculty;Istanbul University;Free;ISTANBUL;Turkish;302;144150;349;49335;614523;285
Mathematics;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;358;147281;438;65046;277433;273
Business;Economics Faculty;Istanbul University;Free;ISTANBUL;Turkish;342;152015;411;23980;277289;339
Mathematics;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;305;155294;359;82217;624899;224
Business;Economics Faculty;Istanbul University;Free;ISTANBUL;Turkish;298;156501;338;66160;624490;277
Business;Economics Faculty;Istanbul University;Free;ISTANBUL;Turkish;324;156618;364;71109;20259;484
Mathematics;Science Faculty;Istanbul University;Free;ISTANBUL;Turkish;316;158242;381;80485;20503;483
